pin_id,success,length_mm,path
43,1,32.00,83.0:0.0 83.0:1.0 83.0:2.0 83.0:3.0 83.0:4.0 83.0:5.0 82.0:5.0 81.0:5.0 80.0:5.0 79.0:5.0 78.0:5.0 77.0:5.0 76.0:5.0 76.0:6.0 76.0:7.0 76.0:8.0 76.0:9.0 76.0:10.0 76.0:11.0 76.0:12.0 76.0:13.0 76.0:14.0 76.0:15.0 76.0:16.0 76.0:17.0 77.0:17.0 78.0:17.0 79.0:17.0 80.0:17.0 81.0:17.0 82.0:17.0 83.0:17.0 83.0:16.0
44,1,42.00,86.0:0.0 86.0:1.0 86.0:2.0 86.0:3.0 86.0:4.0 86.0:5.0 87.0:5.0 88.0:5.0 89.0:5.0 90.0:5.0 91.0:5.0 92.0:5.0 93.0:5.0 94.0:5.0 95.0:5.0 96.0:5.0 97.0:5.0 98.0:5.0 98.0:6.0 98.0:7.0 98.0:8.0 98.0:9.0 98.0:10.0 98.0:11.0 98.0:12.0 98.0:13.0 98.0:14.0 98.0:15.0 98.0:16.0 98.0:17.0 97.0:17.0 96.0:17.0 95.0:17.0 94.0:17.0 93.0:17.0 92.0:17.0 91.0:17.0 90.0:17.0 89.0:17.0 88.0:17.0 87.0:17.0 86.0:17.0 86.0:16.0
45,1,38.00,88.0:0.0 88.0:1.0 88.0:2.0 88.0:3.0 88.0:4.0 88.0:5.0 88.0:6.0 87.0:6.0 86.0:6.0 85.0:6.0 84.0:6.0 83.0:6.0 82.0:6.0 81.0:6.0 80.0:6.0 79.0:6.0 78.0:6.0 77.0:6.0 77.0:7.0 77.0:8.0 77.0:9.0 77.0:10.0 77.0:11.0 77.0:12.0 77.0:13.0 77.0:14.0 77.0:15.0 77.0:16.0 78.0:16.0 79.0:16.0 80.0:16.0 81.0:16.0 82.0:16.0 83.0:16.0 84.0:16.0 85.0:16.0 86.0:16.0 87.0:16.0 88.0:16.0
46,1,36.00,91.0:0.0 91.0:1.0 91.0:2.0 91.0:3.0 91.0:4.0 92.0:4.0 93.0:4.0 94.0:4.0 95.0:4.0 96.0:4.0 97.0:4.0 98.0:4.0 99.0:4.0 99.0:5.0 99.0:6.0 99.0:7.0 99.0:8.0 99.0:9.0 99.0:10.0 99.0:11.0 99.0:12.0 99.0:13.0 99.0:14.0 99.0:15.0 99.0:16.0 99.0:17.0 99.0:18.0 98.0:18.0 97.0:18.0 96.0:18.0 95.0:18.0 94.0:18.0 93.0:18.0 92.0:18.0 92.0:17.0 92.0:16.0 91.0:16.0
47,1,24.00,93.0:0.0 93.0:1.0 93.0:2.0 93.0:3.0 93.0:4.0 93.0:5.0 93.0:6.0 94.0:6.0 95.0:6.0 96.0:6.0 97.0:6.0 97.0:7.0 97.0:8.0 97.0:9.0 97.0:10.0 97.0:11.0 97.0:12.0 97.0:13.0 97.0:14.0 97.0:15.0 97.0:16.0 96.0:16.0 95.0:16.0 94.0:16.0 93.0:16.0
48,1,8.00,96.0:0.0 96.0:1.0 97.0:1.0 97.0:2.0 97.0:3.0 97.0:4.0 97.0:5.0 97.0:6.0 97.0:7.0
49,1,9.00,99.0:0.0 99.0:1.0 99.0:2.0 99.0:3.0 100.0:3.0 100.0:4.0 100.0:5.0 100.0:6.0 100.0:7.0 99.0:7.0
50,1,7.00,101.0:0.0 101.0:1.0 101.0:2.0 101.0:3.0 101.0:4.0 101.0:5.0 101.0:6.0 101.0:7.0
51,1,7.00,104.0:0.0 104.0:1.0 104.0:2.0 104.0:3.0 104.0:4.0 104.0:5.0 104.0:6.0 104.0:7.0
52,1,7.00,106.0:0.0 106.0:1.0 106.0:2.0 106.0:3.0 106.0:4.0 106.0:5.0 106.0:6.0 106.0:7.0
