case,repo,license,eda_file,gerber_dir,footprint,pins,method,coverage_percent,routability_percent,area_ratio_percent,total_wire_mm,violations,congestion_peak,congested_cells,runtime_ms,gerber_files,drill_files,drill_hits,kicad_export_status,parse_overlay_png,comparison_png
eda_pi5_m2_hat,m1geo/Pi5_PCIe,MIT,data/kicad_public/Pi5_PCIe/Pi5_M2_Hat.kicad_pcb,,ngff:AMPHENOL_MDT420M03001,69,pso_congestion_reroute_astar,100.00,100.00,44.18,1199.00,0,34,346,631.52,0,0,0,kicad_cli,results/eda_cases/eda_case_03_pi5_m2_hat/eda_parse_overlay.png,results/eda_cases/eda_case_03_pi5_m2_hat/eda_comparison_original_parse_algorithm.png
eda_pcie_aux_signal_breakout,Supercookiegaming/PCIe-Aux-Signal-Breakout,not specified,data/kicad_public/PCIe-Aux-Signal-Breakout/KiCad/PCIe-Aux-Signal-Breakout/PCIe-Aux-Signal-Breakout.kicad_pcb,data/kicad_public/PCIe-Aux-Signal-Breakout/Gerber,PCIexpress:PCIexpress_x1,36,baseline_rule,100.00,100.00,73.29,648.00,0,2,324,0.29,9,2,52,kicad_cli,results/eda_cases/eda_case_04_pcie_aux_signal_breakout/eda_parse_overlay.png,results/eda_cases/eda_case_04_pcie_aux_signal_breakout/eda_comparison_original_parse_algorithm.png
eda_pcie_aux_signal_breakout,Supercookiegaming/PCIe-Aux-Signal-Breakout,not specified,data/kicad_public/PCIe-Aux-Signal-Breakout/KiCad/PCIe-Aux-Signal-Breakout/PCIe-Aux-Signal-Breakout.kicad_pcb,data/kicad_public/PCIe-Aux-Signal-Breakout/Gerber,PCIexpress:PCIexpress_x1,36,kmeans_tabu_astar,100.00,100.00,16.87,288.00,0,2,48,1.47,9,2,52,kicad_cli,results/eda_cases/eda_case_04_pcie_aux_signal_breakout/eda_parse_overlay.png,results/eda_cases/eda_case_04_pcie_aux_signal_breakout/eda_comparison_original_parse_algorithm.png
eda_pcie_aux_signal_breakout,Supercookiegaming/PCIe-Aux-Signal-Breakout,not specified,data/kicad_public/PCIe-Aux-Signal-Breakout/KiCad/PCIe-Aux-Signal-Breakout/PCIe-Aux-Signal-Breakout.kicad_pcb,data/kicad_public/PCIe-Aux-Signal-Breakout/Gerber,PCIexpress:PCIexpress_x1,36,pso_hanan_tabu_astar,100.00,100.00,16.87,288.00,0,2,48,117.29,9,2,52,kicad_cli,results/eda_cases/eda_case_04_pcie_aux_signal_breakout/eda_parse_overlay.png,results/eda_cases/eda_case_04_pcie_aux_signal_breakout/eda_comparison_original_parse_algorithm.png
eda_pcie_aux_signal_breakout,Supercookiegaming/PCIe-Aux-Signal-Breakout,not specified,data/kicad_public/PCIe-Aux-Signal-Breakout/KiCad/PCIe-Aux-Signal-Breakout/PCIe-Aux-Signal-Breakout.kicad_pcb,data/kicad_public/PCIe-Aux-Signal-Breakout/Gerber,PCIexpress:PCIexpress_x1,36,pso_congestion_reroute_astar,100.00,100.00,16.87,292.00,0,2,35,117.55,9,2,52,kicad_cli,results/eda_cases/eda_case_04_pcie_aux_signal_breakout/eda_parse_overlay.png,results/eda_cases/eda_case_04_pcie_aux_signal_breakout/eda_comparison_original_parse_algorithm.png
eda_mini_pcie_reference,mithro/kicad-mini-pci-express,Apache-2.0,data/kicad_public/kicad-mini-pci-express/mpcie.kicad_pcb,,mpcie:mpcie-full-card,52,baseline_rule,100.00,100.00,70.10,904.00,0,2,286,0.36,0,0,0,kicad_cli,results/eda_cases/eda_case_05_mini_pcie_reference/eda_parse_overlay.png,results/eda_cases/eda_case_05_mini_pcie_reference/eda_comparison_original_parse_algorithm.png
eda_mini_pcie_reference,mithro/kicad-mini-pci-express,Apache-2.0,data/kicad_public/kicad-mini-pci-express/mpcie.kicad_pcb,,mpcie:mpcie-full-card,52,kmeans_tabu_astar,100.00,100.00,27.57,531.00,0,4,144,2.04,0,0,0,kicad_cli,results/eda_cases/eda_case_05_mini_pcie_reference/eda_parse_overlay.png,results/eda_cases/eda_case_05_mini_pcie_reference/eda_comparison_original_parse_algorithm.png
eda_mini_pcie_reference,mithro/kicad-mini-pci-express,Apache-2.0,data/kicad_public/kicad-mini-pci-express/mpcie.kicad_pcb,,mpcie:mpcie-full-card,52,pso_hanan_tabu_astar,100.00,100.00,22.55,474.00,0,3,141,115.22,0,0,0,kicad_cli,results/eda_cases/eda_case_05_mini_pcie_reference/eda_parse_overlay.png,results/eda_cases/eda_case_05_mini_pcie_reference/eda_comparison_original_parse_algorithm.png
eda_mini_pcie_reference,mithro/kicad-mini-pci-express,Apache-2.0,data/kicad_public/kicad-mini-pci-express/mpcie.kicad_pcb,,mpcie:mpcie-full-card,52,pso_congestion_reroute_astar,100.00,100.00,22.55,494.00,0,3,128,115.76,0,0,0,kicad_cli,results/eda_cases/eda_case_05_mini_pcie_reference/eda_parse_overlay.png,results/eda_cases/eda_case_05_mini_pcie_reference/eda_comparison_original_parse_algorithm.png
eda_coral_dual_m2_adapter,serg987/coral-dual-m2-adapter-pcb,GPL-3.0,data/kicad_public/coral-dual-m2-adapter-pcb/kicad_project/m2_coral_dual_adapter/m2_coral_dual_adapter.kicad_pcb,,nvme_ae_to_m:Conn_TE-M.2-0.5-67P-doublesided_TypeE,68,baseline_rule,36.76,36.76,72.36,459.00,43,12,56,0.23,0,0,0,kicad_cli,results/eda_cases/eda_case_06_coral_dual_m2_adapter/eda_parse_overlay.png,results/eda_cases/eda_case_06_coral_dual_m2_adapter/eda_comparison_original_parse_algorithm.png
eda_coral_dual_m2_adapter,serg987/coral-dual-m2-adapter-pcb,GPL-3.0,data/kicad_public/coral-dual-m2-adapter-pcb/kicad_project/m2_coral_dual_adapter/m2_coral_dual_adapter.kicad_pcb,,nvme_ae_to_m:Conn_TE-M.2-0.5-67P-doublesided_TypeE,68,kmeans_tabu_astar,100.00,100.00,49.99,1094.00,0,34,169,11.68,0,0,0,kicad_cli,results/eda_cases/eda_case_06_coral_dual_m2_adapter/eda_parse_overlay.png,results/eda_cases/eda_case_06_coral_dual_m2_adapter/eda_comparison_original_parse_algorithm.png
eda_coral_dual_m2_adapter,serg987/coral-dual-m2-adapter-pcb,GPL-3.0,data/kicad_public/coral-dual-m2-adapter-pcb/kicad_project/m2_coral_dual_adapter/m2_coral_dual_adapter.kicad_pcb,,nvme_ae_to_m:Conn_TE-M.2-0.5-67P-doublesided_TypeE,68,pso_hanan_tabu_astar,100.00,100.00,38.88,1089.00,0,34,171,584.52,0,0,0,kicad_cli,results/eda_cases/eda_case_06_coral_dual_m2_adapter/eda_parse_overlay.png,results/eda_cases/eda_case_06_coral_dual_m2_adapter/eda_comparison_original_parse_algorithm.png
eda_coral_dual_m2_adapter,serg987/coral-dual-m2-adapter-pcb,GPL-3.0,data/kicad_public/coral-dual-m2-adapter-pcb/kicad_project/m2_coral_dual_adapter/m2_coral_dual_adapter.kicad_pcb,,nvme_ae_to_m:Conn_TE-M.2-0.5-67P-doublesided_TypeE,68,pso_congestion_reroute_astar,100.00,100.00,38.88,1189.00,0,34,343,588.99,0,0,0,kicad_cli,results/eda_cases/eda_case_06_coral_dual_m2_adapter/eda_parse_overlay.png,results/eda_cases/eda_case_06_coral_dual_m2_adapter/eda_comparison_original_parse_algorithm.png
eda_usb3_ngff_carrier,themainframe/5g-m2-usb3-interface-pcb,MIT,data/kicad_public/5g-m2-usb3-interface-pcb/usb3-ngff-carrier.kicad_pcb,data/kicad_public/5g-m2-usb3-interface-pcb/gerbers/iss-b,footprint:TE_2199119-3,69,baseline_rule,37.68,37.68,70.00,484.00,43,12,82,0.23,11,2,425,kicad_cli,results/eda_cases/eda_case_07_usb3_ngff_carrier/eda_parse_overlay.png,results/eda_cases/eda_case_07_usb3_ngff_carrier/eda_comparison_original_parse_algorithm.png
eda_usb3_ngff_carrier,themainframe/5g-m2-usb3-interface-pcb,MIT,data/kicad_public/5g-m2-usb3-interface-pcb/usb3-ngff-carrier.kicad_pcb,data/kicad_public/5g-m2-usb3-interface-pcb/gerbers/iss-b,footprint:TE_2199119-3,69,kmeans_tabu_astar,100.00,100.00,54.17,1124.00,0,34,180,6.68,11,2,425,kicad_cli,results/eda_cases/eda_case_07_usb3_ngff_carrier/eda_parse_overlay.png,results/eda_cases/eda_case_07_usb3_ngff_carrier/eda_comparison_original_parse_algorithm.png
eda_usb3_ngff_carrier,themainframe/5g-m2-usb3-interface-pcb,MIT,data/kicad_public/5g-m2-usb3-interface-pcb/usb3-ngff-carrier.kicad_pcb,data/kicad_public/5g-m2-usb3-interface-pcb/gerbers/iss-b,footprint:TE_2199119-3,69,pso_hanan_tabu_astar,100.00,100.00,37.92,1120.00,0,34,183,293.14,11,2,425,kicad_cli,results/eda_cases/eda_case_07_usb3_ngff_carrier/eda_parse_overlay.png,results/eda_cases/eda_case_07_usb3_ngff_carrier/eda_comparison_original_parse_algorithm.png
eda_usb3_ngff_carrier,themainframe/5g-m2-usb3-interface-pcb,MIT,data/kicad_public/5g-m2-usb3-interface-pcb/usb3-ngff-carrier.kicad_pcb,data/kicad_public/5g-m2-usb3-interface-pcb/gerbers/iss-b,footprint:TE_2199119-3,69,pso_congestion_reroute_astar,100.00,100.00,37.92,1214.00,0,34,342,297.98,11,2,425,kicad_cli,results/eda_cases/eda_case_07_usb3_ngff_carrier/eda_parse_overlay.png,results/eda_cases/eda_case_07_usb3_ngff_carrier/eda_comparison_original_parse_algorithm.png
