pin_id,success,length_mm,path
36,1,11.00,44.0:0.0 43.0:0.0 43.0:1.0 43.0:2.0 43.0:3.0 43.0:4.0 43.0:5.0 43.0:6.0 43.0:7.0 44.0:7.0 45.0:7.0 46.0:7.0
37,1,10.00,45.0:0.0 45.0:1.0 45.0:2.0 45.0:3.0 45.0:4.0 45.0:5.0 45.0:6.0 45.0:7.0 45.0:8.0 45.0:9.0 46.0:9.0
38,1,11.00,46.0:0.0 46.0:1.0 46.0:2.0 46.0:3.0 46.0:4.0 46.0:5.0 46.0:6.0 46.0:7.0 46.0:8.0 46.0:9.0 46.0:10.0 46.0:11.0
39,1,10.00,47.0:0.0 47.0:1.0 48.0:1.0 48.0:2.0 49.0:2.0 49.0:3.0 49.0:4.0 49.0:5.0 49.0:6.0 49.0:7.0 48.0:7.0
40,1,11.00,48.0:0.0 47.0:0.0 47.0:1.0 47.0:2.0 47.0:3.0 47.0:4.0 47.0:5.0 47.0:6.0 47.0:7.0 47.0:8.0 47.0:9.0 48.0:9.0
41,1,11.00,48.0:0.0 48.0:1.0 48.0:2.0 48.0:3.0 48.0:4.0 48.0:5.0 48.0:6.0 48.0:7.0 48.0:8.0 48.0:9.0 48.0:10.0 48.0:11.0
42,1,10.00,49.0:0.0 49.0:1.0 50.0:1.0 50.0:2.0 50.0:3.0 50.0:4.0 50.0:5.0 50.0:6.0 50.0:7.0 50.0:8.0 50.0:9.0
43,1,7.00,50.0:0.0 50.0:1.0 50.0:2.0 50.0:3.0 50.0:4.0 50.0:5.0 50.0:6.0 50.0:7.0
44,1,11.00,51.0:0.0 51.0:1.0 51.0:2.0 51.0:3.0 51.0:4.0 51.0:5.0 51.0:6.0 51.0:7.0 51.0:8.0 51.0:9.0 51.0:10.0 51.0:11.0
45,1,9.00,52.0:0.0 52.0:1.0 52.0:2.0 52.0:3.0 52.0:4.0 52.0:5.0 52.0:6.0 52.0:7.0 52.0:8.0 52.0:9.0
46,1,9.00,52.0:0.0 52.0:1.0 52.0:2.0 53.0:2.0 53.0:3.0 53.0:4.0 53.0:5.0 53.0:6.0 53.0:7.0 52.0:7.0
47,1,10.00,53.0:0.0 53.0:1.0 54.0:1.0 54.0:2.0 54.0:3.0 54.0:4.0 54.0:5.0 54.0:6.0 54.0:7.0 54.0:8.0 54.0:9.0
48,1,7.00,54.0:0.0 54.0:1.0 54.0:2.0 54.0:3.0 54.0:4.0 54.0:5.0 54.0:6.0 54.0:7.0
49,1,11.00,55.0:0.0 55.0:1.0 55.0:2.0 55.0:3.0 55.0:4.0 55.0:5.0 55.0:6.0 55.0:7.0 55.0:8.0 55.0:9.0 55.0:10.0 55.0:11.0
50,1,9.00,56.0:0.0 56.0:1.0 56.0:2.0 56.0:3.0 56.0:4.0 56.0:5.0 56.0:6.0 56.0:7.0 56.0:8.0 56.0:9.0
51,1,9.00,56.0:0.0 56.0:1.0 56.0:2.0 57.0:2.0 57.0:3.0 57.0:4.0 57.0:5.0 57.0:6.0 57.0:7.0 56.0:7.0
52,1,10.00,57.0:0.0 57.0:1.0 58.0:1.0 58.0:2.0 58.0:3.0 58.0:4.0 58.0:5.0 58.0:6.0 58.0:7.0 58.0:8.0 58.0:9.0
53,1,7.00,58.0:0.0 58.0:1.0 58.0:2.0 58.0:3.0 58.0:4.0 58.0:5.0 58.0:6.0 58.0:7.0
