pin_id,success,length_mm,path
35,1,8.00,32.0:0.0 32.0:1.0 32.0:2.0 33.0:2.0 33.0:3.0 33.0:4.0 33.0:5.0 33.0:6.0 33.0:7.0
36,1,11.00,33.0:0.0 33.0:1.0 33.0:2.0 33.0:3.0 33.0:4.0 33.0:5.0 33.0:6.0 33.0:7.0 33.0:8.0 33.0:9.0 33.0:10.0 33.0:11.0
37,1,9.00,34.0:0.0 34.0:1.0 34.0:2.0 34.0:3.0 34.0:4.0 34.0:5.0 34.0:6.0 34.0:7.0 34.0:8.0 34.0:9.0
38,1,7.00,35.0:0.0 35.0:1.0 35.0:2.0 35.0:3.0 35.0:4.0 35.0:5.0 35.0:6.0 35.0:7.0
39,1,11.00,35.0:0.0 35.0:1.0 35.0:2.0 35.0:3.0 35.0:4.0 35.0:5.0 35.0:6.0 35.0:7.0 35.0:8.0 35.0:9.0 35.0:10.0 35.0:11.0
40,1,9.00,36.0:0.0 36.0:1.0 36.0:2.0 36.0:3.0 36.0:4.0 36.0:5.0 36.0:6.0 36.0:7.0 36.0:8.0 36.0:9.0
41,1,7.00,37.0:0.0 37.0:1.0 37.0:2.0 37.0:3.0 37.0:4.0 37.0:5.0 37.0:6.0 37.0:7.0
42,1,11.00,37.0:0.0 37.0:1.0 37.0:2.0 37.0:3.0 37.0:4.0 37.0:5.0 37.0:6.0 37.0:7.0 37.0:8.0 37.0:9.0 37.0:10.0 37.0:11.0
43,1,9.00,38.0:0.0 38.0:1.0 38.0:2.0 38.0:3.0 38.0:4.0 38.0:5.0 38.0:6.0 38.0:7.0 38.0:8.0 38.0:9.0
44,1,11.00,39.0:0.0 39.0:1.0 39.0:2.0 40.0:2.0 41.0:2.0 41.0:3.0 41.0:4.0 41.0:5.0 41.0:6.0 41.0:7.0 40.0:7.0 39.0:7.0
45,1,11.00,39.0:0.0 39.0:1.0 39.0:2.0 39.0:3.0 39.0:4.0 39.0:5.0 39.0:6.0 39.0:7.0 39.0:8.0 39.0:9.0 39.0:10.0 39.0:11.0
46,1,9.00,40.0:0.0 40.0:1.0 40.0:2.0 40.0:3.0 40.0:4.0 40.0:5.0 40.0:6.0 40.0:7.0 40.0:8.0 40.0:9.0
47,1,7.00,41.0:0.0 41.0:1.0 41.0:2.0 41.0:3.0 41.0:4.0 41.0:5.0 41.0:6.0 41.0:7.0
48,1,11.00,41.0:0.0 41.0:1.0 42.0:1.0 42.0:2.0 42.0:3.0 42.0:4.0 42.0:5.0 42.0:6.0 42.0:7.0 42.0:8.0 42.0:9.0 42.0:10.0
49,1,10.00,42.0:0.0 43.0:0.0 44.0:0.0 45.0:0.0 45.0:1.0 45.0:2.0 45.0:3.0 45.0:4.0 45.0:5.0 45.0:6.0 45.0:7.0
50,1,7.00,43.0:0.0 43.0:1.0 43.0:2.0 43.0:3.0 43.0:4.0 43.0:5.0 43.0:6.0 43.0:7.0
51,1,10.00,43.0:0.0 43.0:1.0 43.0:2.0 43.0:3.0 43.0:4.0 43.0:5.0 43.0:6.0 43.0:7.0 43.0:8.0 43.0:9.0 44.0:9.0
52,1,11.00,44.0:0.0 44.0:1.0 44.0:2.0 44.0:3.0 44.0:4.0 44.0:5.0 44.0:6.0 44.0:7.0 44.0:8.0 44.0:9.0 44.0:10.0 44.0:11.0
